fullname,firstname,lastname,laboratory,ORCID,iNat_username
Edouard Brülhart,Edouard,Brülhart,COMMONS,"0000-0003-3950-4065",@edouardbruelhart
Marco Andreas Stanley Visani,Marco Andreas Stanley,Visani,COMMONS,"0000-0002-3211-9423",@mvisani
Pierre-Marie Allard,Pierre-Marie,Allard,COMMONS,"0000-0003-3389-2191",@pmallard
Emmanuel Defossez,Emmanuel,Defossez,,"0000-0002-3279-9190",@manu_dfz
Colin Volet,Colin,Volet,COMMONS,"0000-0003-3546-9602",
Maëlle Wannier,Maëlle,Wannier,external,"0009-0008-3757-9999",@mwannier
Héloïse Coen,Héloïse,Coen,COMMONS,"0009-0009-8832-7457",@hcoen
Ana Claudia Sima,Ana Claudia,Sima,SIB,"0000-0003-3213-4495",@anaclausima
Chanton Marlis,Chanton,Marlis,,,
Donat Agosti,Donat,Agosti,,"0000-0001-9286-1200",@agosti
Henry Lutcke,Henry,Lutcke,,"0000-0001-7225-4374",
Hans Peter Wymann,Hans Peter,Wymann,,,
Jacqueline Detraz,Jacqueline,Detraz,,"0000-0002-8263-233X",
Luca Cappelletti,Luca,Cappelletti,COMMONS,"0000-0002-1269-2038",
Mazzarine Laboureau,Mazarine,Laboureau,,,@mazzarinel
Tarcisio Mendes de Farias,Tarcisio,Mendes de Farias,SIB,"0000-0002-3175-5372",
Urs Schaffner,Urs,Schaffner,,"0000-0002-3504-3014",
Disha Tandon,Disha,Tandon,,"0009-0005-5515-1230",@drishti4
Lise Lebrun,Lise,Lebrun,external,,@lise973
